127.0.0.1, 2021-08-11 11:39:21, GET, /, HTTP/1.1, 303, 0.000997
127.0.0.1, 2021-08-11 11:39:21, GET, /welcome/default/index, HTTP/1.1, 200, 0.188117
127.0.0.1, 2021-08-11 11:39:21, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-08-11 11:39:26, GET, /welcome/default/index, HTTP/1.1, 200, 0.113428
127.0.0.1, 2021-08-11 11:39:28, GET, /admin/default/site, HTTP/1.1, 303, 0.087786
127.0.0.1, 2021-08-11 11:39:28, GET, /admin/default/index, HTTP/1.1, 200, 0.025901
127.0.0.1, 2021-08-11 11:39:28, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2021-08-11 11:39:31, GET, /welcome/default/index, HTTP/1.1, 200, 0.010002
127.0.0.1, 2021-08-11 11:39:37, GET, /welcome, HTTP/1.1, 200, 0.015624
127.0.0.1, 2021-08-11 11:39:37, GET, /welcome, HTTP/1.1, 200, 0.009973
127.0.0.1, 2021-08-11 11:39:37, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000000
127.0.0.1, 2021-08-11 11:39:52, GET, /welcome, HTTP/1.1, 200, 0.009972
127.0.0.1, 2021-08-11 11:40:06, GET, /welcome, HTTP/1.1, 200, 0.009973
127.0.0.1, 2021-08-11 11:40:08, GET, /welcome, HTTP/1.1, 200, 0.009003
127.0.0.1, 2021-08-11 11:40:08, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000975
127.0.0.1, 2021-08-11 11:42:03, GET, /welcome, HTTP/1.1, 200, 0.009973
127.0.0.1, 2021-08-11 11:42:03, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000998
127.0.0.1, 2021-08-11 11:42:06, GET, /welcome, HTTP/1.1, 200, 0.011993
127.0.0.1, 2021-08-11 11:42:06, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:42:06, GET, /welcome, HTTP/1.1, 200, 0.009007
127.0.0.1, 2021-08-11 11:42:06, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:42:07, GET, /welcome, HTTP/1.1, 200, 0.010971
127.0.0.1, 2021-08-11 11:42:07, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:42:07, GET, /welcome, HTTP/1.1, 200, 0.008993
127.0.0.1, 2021-08-11 11:42:07, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000971
127.0.0.1, 2021-08-11 11:42:07, GET, /welcome, HTTP/1.1, 200, 0.008975
127.0.0.1, 2021-08-11 11:42:07, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:42:16, GET, /welcome, HTTP/1.1, 200, 0.008976
127.0.0.1, 2021-08-11 11:42:16, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:42:17, GET, /welcome, HTTP/1.1, 200, 0.008963
127.0.0.1, 2021-08-11 11:42:17, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000998
127.0.0.1, 2021-08-11 11:42:17, GET, /welcome, HTTP/1.1, 200, 0.008976
127.0.0.1, 2021-08-11 11:42:17, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:42:29, GET, /welcome, HTTP/1.1, 200, 0.009972
127.0.0.1, 2021-08-11 11:42:29, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001021
127.0.0.1, 2021-08-11 11:42:30, GET, /welcome, HTTP/1.1, 200, 0.008976
127.0.0.1, 2021-08-11 11:42:30, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:42:30, GET, /welcome, HTTP/1.1, 200, 0.008929
127.0.0.1, 2021-08-11 11:42:30, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000997
127.0.0.1, 2021-08-11 11:42:31, GET, /welcome, HTTP/1.1, 200, 0.010000
127.0.0.1, 2021-08-11 11:42:31, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:42:31, GET, /welcome, HTTP/1.1, 200, 0.008976
127.0.0.1, 2021-08-11 11:42:31, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001020
127.0.0.1, 2021-08-11 11:42:31, GET, /welcome, HTTP/1.1, 200, 0.008995
127.0.0.1, 2021-08-11 11:42:31, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.000000
127.0.0.1, 2021-08-11 11:42:32, GET, /welcome, HTTP/1.1, 200, 0.008975
